artist_name,release_date,genre,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,sadness,feelings,topic
1597,1950,4,51,0.035537134,0.096776742,0.4434351738186404,0.001283697,0.001283697,0.027007477,0.001283697,0.001283697,0.001283697,0.1180338411682359,0.001283697,0.2126810671851602,0.051124199,0.001283697,0.001283697,3
1726,1950,4,48,0.001349528,0.001349528,0.4177722727138843,0.001349528,0.001349528,0.001349528,0.4634300948612802,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.029754565,0.068800152,0.001349528,7
1619,1950,4,179,0.000482859,0.000482859,0.3718167049375792,0.040711966,0.000482859,0.000482859,0.000482859,0.3847028203575036,0.000482859,0.000482859,0.000482859,0.044354671,0.000482859,0.000482859,0.1231498770060476,3
1597,1951,4,173,0.000626566,0.2443580759245977,0.083569966,0.000626566,0.013375427,0.022181143,0.000626566,0.1091289709585859,0.4589837412093324,0.000626566,0.000626566,0.000626566,0.000626566,0.000626566,0.032580842,9
1712,1951,4,73,0.000785546,0.000785546,0.150690869,0.000785546,0.000785546,0.000785546,0.000785546,0.090114231,0.000785546,0.1733106182210936,0.000785546,0.085106248,0.000785546,0.4454687961567132,0.045097139,14
267,1952,4,48,0.002024292,0.4323963105509871,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.4635940269865534,0.002024292,0.002024292,0.002024292,0.002024292,0.032489034,0.002024292,0.041156255,2
267,1952,4,148,0.000431406,0.031303771,0.000431406,0.000431406,0.016905991,0.3096002197529346,0.005947658,0.000431406,0.05584699,0.072208893,0.000431406,0.000431406,0.000431406,0.000431406,0.4264571683737991,15
1712,1952,4,104,0.000626566,0.3363648731640802,0.1102879602503559,0.050450745,0.000626566,0.031718443,0.000626566,0.13830557,0.000626566,0.000626566,0.054813454,0.000626567,0.026879997,0.059251738,0.037602766,2
1712,1952,4,41,0.038509374,0.001644737,0.001644737,0.1292796239070506,0.1038378426375705,0.001644737,0.3934706726152527,0.2642688521807501,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.049252056,7
267,1952,4,127,0.000692521,0.04070609,0.000692521,0.028726069,0.000692521,0.000692521,0.000692521,0.000692521,0.688167146,0.000692521,0.064938133,0.1225690357640469,0.000692521,0.000692521,0.000692521,9
267,1953,4,15,0.004385965,0.004385965,0.3388906036848872,0.004385965,0.004385965,0.004385965,0.004385966,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.5865479901385906,0.004385965,14
267,1953,4,79,0.000974659,0.1097665950668667,0.082102576,0.047504299,0.000974659,0.000974659,0.3595582734572387,0.08461827,0.000974659,0.000974659,0.000974659,0.190711503,0.000974659,0.000974659,0.078255076,7
1712,1953,4,87,0.000877193,0.000877193,0.4213088077671624,0.057732349,0.000877193,0.000877193,0.019333934,0.1813239285013621,0.000877193,0.034582815,0.000877193,0.024780211,0.1379589019267674,0.000877193,0.000877193,3
